Vartiokylä|Helsinki|K|1964|2580|169000|65.5|Kuusistonlinnantie 1
Kruununhaka|Helsinki|K|1911|6000|600000|100|Rauhankatu 5
Pohjois-Haaga|Helsinki|K|1955|3904|203000|52|Ohjaajantie 10
Meilahti|Helsinki|K|1939|6519|515000|79|Pihlajatie 11 A
Ruskeasuo|Ruskeasuo Helsinki|K|2026|6219|199000|32|Tenholantie 12 C
Etu-Töölö|Helsinki|K|1924|7114|488000|68.6|Arkadiankatu 20
Sompasaari|Helsinki|K|2019|7333|319000|43.5|Aallonhalkoja 1 D
Pohjois-Haaga|Helsinki|K|1954|3673|450000|122.5|Näyttelijäntie 1
Malmi|Helsinki|R|1985|3137|229000|73|Pyrytie 1 A
Munkkiniemi|Helsinki|K|1952|6725|269000|40|Huopalahdentie 7 B
Verkkosaari|Helsinki|K|2021|9469|535000|56.5|Englantilaisaukio 10 A
Oulunkylä|Helsinki|K|1965|3712|258000|69.5|Mäkitorpantie 42 D
Meilahti|Helsinki|K|1946|7571|159000|21|Mannerheimintie 144
Kannelmäki|Helsinki|K|1981|3521|125000|35.5|Halsuantie 3 A
Ullanlinna|Helsinki|K|1924|8273|1030000|124.5|Jääkärinkatu 10 A
Puistola|Helsinki|R|1980|2631|196000|74.5|Sirkkalanmäki 52 A 4
Hietalahti|Helsinki|K|1939|7580|548000|72.3|Lönnrotinkatu 45
Ullanlinna|Helsinki|K|1938|9615|1250000|130|Vuorimiehenkatu 3 A
Ullanlinna|Helsinki|K|1978|13403|835000|62.3|Neitsytpolku 6
Käpylä|Helsinki|K|1952|4697|155000|33|Koskelantie 9 D
Munkkiniemi|Helsinki|K|1949|7792|187000|24|Solnantie 24 B
Itä-Pakila|Helsinki|R|2026|3910|445737|114|Yhdyskunnantie 19 E
Jätkäsaari|Helsinki|K|2025|5979|287000|48|Atlantinkatu 6
Munkkivuori|Helsinki|K|1958|4955|218000|44|Porintie 2
Kamppi|Helsinki|K|1939|8000|248000|31|Ruoholahdenkatu 24
Ullanlinna|Helsinki|K|1954|11333|459000|40.5|Siltatie 3
Jätkäsaari|Helsinki|K|2017|5333|288000|54|Välimerenkatu 6
Kamppi|Helsinki|K|2016|9099|939000|103.2|Albertinkatu 27 b
Käpylä|Helsinki|K|1952|5242|249000|47.5|Koskelantie 25 E 37
Etelä-Haaga|Helsinki|K|1939|2088|284000|136|Vihdintie 13
Kallio|Helsinki|K|1908|6815|368000|54|Pitkänsillanranta 15
Mäkelänkatu 20 B|Helsinki|K|1928|7107|199000|28|Mäkelänkatu 20 B
Jätkäsaari|Helsinki|K|1994|6982|192000|27.5|Messipojankuja 4 B
Itäkeskus|Helsinki|K|2023|637|56049|88|Kauppakartanonkatu 16b
Tapanila|Helsinki|K|2022|527|50307|95.5|Jäkälätie 18
Roihuvuori|Helsinki|K|1957|3780|189000|50|Punahilkantie 14
Töölö|Helsinki|K|1937|7682|169000|22|Päivärinnankatu 5a A
Jätkäsaari|Helsinki|K|2020|7956|358000|45|Bahamankatu 10 A
Puotinharju|Helsinki|K|1964|2960|148000|50|Arhotie 24 B12
Punavuori|Helsinki|K|1960|7674|990000|129|Sepänkatu 3-5
Lassila|Helsinki|K|1980|3102|228000|73.5|Leiviskätie 3 D
Viikki|Helsinki|K|2008|4329|329000|76|Metsänhoitajankatu 6-12
Viikki|Helsinki|K|2017|5683|179000|31.5|Maakaari 9 A
Merihaka|Helsinki|K|1975|4313|179000|41.5|Haapaniemenkatu 12
Haaga|Helsinki|K|2011|594|32066|54|Poutuntie 14
Kaarela|Helsinki|K|2016|589|35315|60|Perhosenkierto 33
Jätkäsaari|Helsinki|K|2017|7767|567000|73|Heino Kasken katu 5
Mellunmäki|Helsinki|K|1973|2482|139000|56|Saariselänkuja 6 H
Mellunmäki|Helsinki|K|1978|2839|88000|31|Ounasvaarankuja 3 C
Eira|Helsinki|K|1913|16214|2270000|140|Chydeniuksentie 3-5
Punavuori|Helsinki|K|1903|9498|2650000|279|Fredrikinkatu 20
Itäkeskus|Helsinki|K|2000|3782|225000|59.5|Asiakkaankatu 1
Käpylä|Helsinki|K|1956|4711|179000|38|Koskelantie 37
Lauttasaari|Helsinki|K|2009|7238|579000|80|Särkiniementie 7
Punavuori|Helsinki|K|1972|8674|798000|92|Punavuorenkatu 21
Kamppi|Helsinki|K|1896|13846|3690000|266.5|Lönnrotinkatu 3
Kruunuvuorenranta|Helsinki|K|2023|812|34520|42.5|Turumankatu 15 ja Pojamankatu 12
Töölö|Helsinki|K|1938|5114|895000|175|Nordenskiöldinkatu 3a
Vallila|Helsinki|K|1925|5962|375000|62.9|Sturenkatu 31 B
Haaga|Helsinki|K|2026|6363|509000|80|Kylätie 3 A 1
Munkkiniemi|Helsinki|K|1939|6114|428000|70|Munkkiniemen puistotie 16
Tapaninkylä|Helsinki|K|1972|2614|149000|57|Saniaistie 5 A
Pikku|Huopalahti Helsinki|K|1991|4160|389000|93.5|Haapalahdenkatu 8 A
Ruoholahti|Helsinki|K|1995|5818|288000|49.5|Jaalaranta 6
Ullanlinna|Helsinki|K|1956|9328|2500000|268|Neitsytpolku 3 B
Vuosaari|Helsinki|K|1995|2152|198000|92|Kaivonkatsojantie 13 A
Taka-Töölö|Helsinki|K|1938|6806|245000|36|Nordenskiöldinkatu 10
Puistola|Helsinki|R|2026|5542|424000|76.5|Kehtotie 2b B1
Paloheinä|Helsinki|R|2001|3706|315000|85|Kuusmiehenkaari 4 B
Kamppi|Helsinki|K|2005|10294|525000|51|Fredrikinkatu 63
Etu-Töölö|Helsinki|K|1929|8102|585000|72.2|Mechelininkatu 15
Meilahti|Helsinki|K|0|6351|235000|37|Mannerheimintie 144 A
Roihuvuori|Helsinki|K|2019|3912|271900|69.5|Strömsinlahdenpolku 11 A
Munkkiniemi|Helsinki|K|2026|11113|889000|80|Munkinpolku 2 A 8
Munkkiniemi|Helsinki|K|2026|10890|1089000|100|Munkinpolku 2 A 7
Roihuvuori|Helsinki|K|2019|4206|283900|67.5|Strömsinlahdenpolku 11 A
Malminkartano|Helsinki|K|2019|3493|234000|67|Luutnantinpolku 4
Lehtisaari|Helsinki|R|1966|3356|396000|118|Tykistökapteenintie 3
Munkkivuori|Helsinki|K|1959|4780|239000|50|Ulvilantie 11 B e
Kallio|Helsinki|K|2026|9991|1169000|117|Kaikukuja 1
Hakaniemi|Helsinki|K|1940|5474|375000|68.5|Viherniemenkatu 9 A
Jätkäsaari|Helsinki|K|2017|8984|610900|68|Välimerenkatu 12 H
Roihuvuori|Helsinki|K|1958|3060|179000|58.5|Lumikintie 6
Töölö|Helsinki|K|1939|6400|448000|70|Valhallankatu 6 A
Taka-Töölö|Helsinki|K|1938|6267|188000|30|Nordenskiöldinkatu 10
Kruununhaka|Helsinki|K|1911|8018|898000|112|Rauhankatu 5 D
Hermanni|Helsinki|K|2026|5715|485800|85|Sörnäistenkatu 14 C 44
Ounasvaarankuja 1|Helsinki|K|1983|1712|89000|52|Ounasvaarankuja 1
Oulunkylä|Helsinki|K|2020|5134|172000|33.5|Veräjä 8
Lauttasaari|Helsinki|K|1969|7084|379000|53.5|Hakolahdentie 27
Oulunkylä|Helsinki|R|2015|668|44436|66.5|Hirsipadonkuja 1
Kamppi|Helsinki|K|1963|6177|349000|56.5|Eerikinkatu 22
Vallila|Helsinki|K|1946|6133|184000|30|Mäkelänkatu 4a
Roihuvuori|Helsinki|K|1965|5365|279000|52|Untuvaisentie 2
Itä-pakila|Helsinki|R|0|5179|445400|86|Kotasuontie 37b 1
Länsi-Pakila|Helsinki|O|0|3278|295000|90|Kyläkunnantie 77
Kulosaari|Helsinki|O|1939|9662|4000000|414|Risto Rytin tie 6
Korvatunturintie 5|Helsinki|K|1968|1217|98000|80.5|Korvatunturintie 5
Puistola|Helsinki|R|1977|2643|259000|98|Karrintie 22 A
Jätkäsaari|Helsinki|K|2021|7656|490000|64|Bermudankatu 5
Pihlajamäki|Helsinki|R|1985|2141|198000|92.5|Liuskekuja 8
Toukola|Helsinki|R|1928|6912|750000|108.5|Japaninkatu 5
Länsi-Pasila|Helsinki|K|2012|5123|479000|93.5|Radiokatu 11 B
Tapulikaupunki|Helsinki|K|1983|1772|109000|61.5|Kruunaajanpolku 3
Myllypuro|Helsinki|K|1965|2674|238000|89|Tuulimyllyntie 3
Kallio|Helsinki|K|1937|6019|319000|53|Pengerkatu 21b B
Alppila|Helsinki|K|1955|4865|180000|37|Porvoonkatu 32
Meri-Rastila|Helsinki|K|1991|2275|169500|74.5|Prammikuja 2 D
Kamppi|Helsinki|K|1929|6508|630000|96.8|Albertinkatu 44 B
Aurinkolahti|Helsinki|K|2004|5281|235000|44.5|Solvikinkatu 6 C
Landbo|Helsinki|R|2020|4760|367000|77.1|Palomäentie 3
Pukinmäki|Helsinki|O|0|4470|549800|123|Markkinatie 25 C
Sompasaari|Helsinki|K|2021|8527|388000|45.5|Kaljaasi Fortunan katu 1 C
Lauttasaari|Helsinki|K|1990|5465|429000|78.5|Särkiniementie 17
Pihlajamäki|Helsinki|K|2015|706|41316|58.5|Johtokiventie 1a
Etelä-Haaga|Helsinki|K|1961|4350|375000|86.2|Korppaantie 3
Lassila|Helsinki|K|1981|4093|219000|53.5|Laurinniityntie 7-11 A 11
Ullanlinna|Helsinki|K|1926|9184|698000|76|Laivanvarustajankatu 5
Taka-Töölö|Helsinki|K|1936|6038|314000|52|Messeniuksenkatu 9
Tapaninkylä|Helsinki|K|1987|3350|134000|40|Laulurastaantie 13 G
Kallio|Helsinki|K|1927|7111|192000|27|Kustaankatu 1 C
Oulunkylä|Helsinki|K|2019|680|27559|40.5|Risupadontie 5
Siilitie|/ Herttoniemi Helsinki|K|1956|4130|159000|38.5|Siilitie 4
Pitäjänmäki|Helsinki|R|1984|2802|468000|167|Henrikinkuja 4
Munkkiniemi|Helsinki|K|1957|5748|365000|63.5|Tammitie 20
Mellunkylä|Helsinki|K|2020|749|29601|39.5|Sinkilätie 8
Alppikylä|Helsinki|R|2017|3082|339000|110|Tattarikatu 1 as
Roihuvuori|Helsinki|K|1960|4177|259000|62|Lumikintie 3 D
Jätkäsaari|Helsinki|K|2014|8523|848000|99.5|Saukonpaadenranta 14
Kruununhaka|Helsinki|K|1910|7506|319000|42.5|Snellmaninkatu 16 C
Töölö|Helsinki|K|1938|6412|545000|85|Urheilukatu 28
Siltamäki|Helsinki|K|1969|1610|99850|62|Kauriintie 5 A
Kamppi|Helsinki|K|1986|6434|489000|76|Kalevankatu 61
Roihuvuori|Helsinki|K|1959|2709|149000|55|Vuorenpeikontie 3 B
Pohjois-Haaga|Helsinki|K|1957|5388|229000|42.5|Huovitie 1 A
Malmi|Helsinki|K|2011|3618|199000|55|Helatehtaankatu 8
Tapanila|Helsinki|R|1980|3590|359000|100|Moisiontie 10 B
Roihuvuori|Helsinki|K|1965|4321|229000|53|Peukaloisentie 4 C
Kannelmäki|Helsinki|K|1958|3417|164000|48|Kanneltie 7 F
Kallio|Helsinki|K|1941|5700|236550|41.5|Hämeentie 62
Maunula|Helsinki|K|1972|4580|158000|34.5|Rajametsäntie 34 C
Alppila|Helsinki|K|1959|5321|298000|56|Karjalankatu 9
Kruunuvuorenranta|Helsinki|K|2026|668|63444|95|Saaristolaivastonkatu 18
Kruunuvuorenranta|Helsinki|K|2026|788|41762|53|Saaristolaivastonkatu 18
Vesala|Helsinki|K|1990|1948|149000|76.5|Rekipellontie 8 B
Oulunkylä|Helsinki|O|0|3731|485000|130|Kyläsepänkuja 7B
Itäkeskus|Helsinki|K|1985|2288|175000|76.5|Lehdokkipolku 5 C
Myllypuro|Helsinki|K|0|3321|279000|84|Kiviparintie 9 E
Katajanokka|Helsinki|K|1981|4985|339000|68|Matruusinkatu 4 A
Pukinmäki|Savela Helsinki|K|2019|597|52823|88.5|Isonpellontie 4
Malmi|Helsinki|K|1968|2846|148000|52|Anianpellontie 10
Hermanni|Helsinki|K|2012|6297|488000|77.5|Eläinlääkärinkatu 5
Malmi|Helsinki|K|1984|2692|105000|39|Turkhaudantie 2
Lauttasaari|Helsinki|K|1941|7337|675000|92|Isokaari 4
Kuninkaantammi|Helsinki|K|2019|4417|307000|69.5|Temperankatu 4 D
Pohjois-Haaga|Helsinki|K|1957|5104|245000|48|Näyttelijäntie 18 C
Kivikko|Helsinki|K|2026|6085|209916|34.5|Kivijatatie 7 A 3
Kivikko|Helsinki|K|2026|4955|265070|53.5|Kivijatatie 7 A 8
Kivikko|Helsinki|K|2026|4297|429710|100|Kivijatatie 7 A 26
Kivikko|Helsinki|K|2026|6877|168481|24.5|Kivijatatie 7 A 20
Alppila|Helsinki|K|1941|3725|149000|40|Viipurinkatu 29
Kannelmäki|Helsinki|K|1962|4107|115000|28|Pajupillintie 15 B
Alppikylä|Helsinki|K|2018|3635|209000|57.5|Kyytimiehenkatu 1
Kuninkaantammi|Helsinki|K|2017|3831|159000|41.5|Oranssikuja 5
Pukinmäki|Helsinki|K|1983|3688|118000|32|Eskolantie 16 E
Lauttasaari|Helsinki|K|1959|7020|179000|25.5|Puistokaari 10
Käpylä|Helsinki|K|1950|5375|215000|40|Käpyläntie 4 C
Viikinmäki|Helsinki|K|2014|4042|192000|47.5|Henrik Lättiläisen katu 23
Katajanokka|Helsinki|K|1910|9805|1510000|154|Luotsikatu 16
Pasila|Helsinki|K|2021|828|45121|54.5|Metsäläntie 6b
Kruunuvuorenranta|Helsinki|K|2026|679|101885|150|Saaristolaivastonkatu 18
Kruunuvuorenranta|Helsinki|K|2026|703|44261|63|Saaristolaivastonkatu 18
Kruunuvuorenranta|Helsinki|K|2026|814|26469|32.5|Saaristolaivastonkatu 18
Vallila|Helsinki|K|1940|6373|188000|29.5|Mäkelänkatu 10
Mellunmäki|Helsinki|K|2025|3583|309900|86.5|Ounasvaarantie 20 A1
Mellunmäki|Helsinki|K|2025|3447|199900|58|Ounasvaarantie 20 A4
Mellunmäki|Helsinki|K|2027|4284|224901|52.5|Ounasvaarantie 18 A 8
Mellunmäki|Helsinki|K|2027|5757|189970|33|Ounasvaarantie 18 A 26
Hietalahti|Helsinki|K|1989|6678|394000|59|Kalevankatu 56a
Oulunkylä|Helsinki|K|1979|2579|138000|53.5|Käpytie 8
