Haapaniemi|Jyväskylä|K|1983|781|59000|75.5|Oksalankuja 1
Palokka|Jyväskylä|R|2026|2833|289000|102|Kehrääjäntie 14
Palokka|Jyväskylä|O|2026|3000|495000|165|Koukkukatu 22
Kangasrinne|Jyväskylä|K|2024|508|40894|80.5|Huhta 5 C
Vaajakoski|Jyväskylä|O|2027|3466|357000|103|Hupelintie 15b
Vaajakoski|Jyväskylä|O|2023|3682|545000|148|Etu-Kanavuorentie 4
Keskusta|Jyväskylä|K|1961|2656|85000|32|Yliopistonkatu 44 A
Keskusta|Jyväskylä|K|2019|3000|135000|45|Vapaudenkatu 6 A
Tarhamäki|Jyväskylä|R|2012|2781|279500|100.5|Pirttikatu 4 B
Taulumäki|Jyväskylä|K|2016|3582|197000|55|Taulumäentie 61 B
Keskusta|Jyväskylä|K|1961|2431|79000|32.5|Yliopistonkatu 44
Lutakko|Jyväskylä|K|2007|3273|234000|71.5|Satamakatu 21
Lohikoski|Jyväskylä|R|1984|1630|97000|59.5|Metsikkötie 16
Lutakko|Jyväskylä|K|2013|3094|215000|69.5|Schaumanin puistotie 22 A
Lutakko|Jyväskylä|K|2004|3602|194500|54|Laani 10 A
Korpilahti|Jyväskylä|R|1979|547|35000|64|Päijänteentie 2 A
Holsti|Jyväskylä|O|1997|2938|258500|88|Kolikkotie 4
Korpilahti|Jyväskylä|O|2022|3418|565000|165.3|Päivänvarjontie 23
Kangasvuori|Jyväskylä|K|1967|1466|85000|58|Kangasvuorentie 6 B
Kuokkalanpelto|Jyväskylä|R|2026|3027|339000|112|Isokatu 20 A
Keltinmäki|Jyväskylä|K|1974|932|34000|36.5|Seitikintie 9 A
Ruoke|Jyväskylä|R|2022|2704|269000|99.5|Sivakkapolku 14
Kortepohja|Jyväskylä|K|1971|1167|77000|66|Emännäntie 22 C
Tikkakoski|Jyväskylä|R|1970|688|55000|80|Martinkatu 3 A
Köhniö|Jyväskylä|O|1960|1207|128500|106.5|Köhniönkatu 17
Halssila|Jyväskylä|K|2013|2734|149000|54.5|Tiirantie 16 as
Mäki-Matti|Jyväskylä|K|1960|3000|168000|56|Voionmaankatu 13
Samulinniemi|Jyväskylä|R|2026|3888|279900|72|Toivonlenkki 10  C
Samulinniemi|Jyväskylä|R|2026|3749|299900|80|Toivonlenkki 10 C
Vaajakoski|Jyväskylä|K|2023|3244|199500|61.5|Huoltopolku 2 B 26
Vaajakoski|Jyväskylä|K|2023|3244|199500|61.5|Huoltopolku 2 B 20
Samulinniemi|Jyväskylä|R|2026|3999|287900|72|Toivonlenkki 10 B
Samulinniemi|Jyväskylä|R|2026|3838|307000|80|Toivonlenkki 10 B
Samulinniemi|Jyväskylä|R|2026|3641|385900|106|Toivonlenkki 10 A
Veturitalli|Jyväskylä|K|2003|528|21385|40.5|Vapaudenkatu 64 A 17
Kangaslampi|Jyväskylä|K|1973|831|27000|32.5|Laikuttajantie 8
Keltinmäki|Jyväskylä|K|1982|530|35000|66|Haperontie 3 A
Palokka|Jyväskylä|R|1978|1531|124000|81|Männikköpolku 3 as
Kortepohja|Jyväskylä|K|2014|533|26628|50|Pehtorintie 2
Kuokkala|Jyväskylä|K|1990|1373|103000|75|Polttolinja 9 C
Tikkala|Jyväskylä|O|2015|3033|370000|122|Sutolan maantie 68
Kuokkala|Jyväskylä|K|1989|1620|98000|60.5|Kivipelto 5 C
Keskusta|Jyväskylä|K|2014|3189|279000|87.5|Vapaudenkatu 35c
Sääksvuori|Jyväskylä|O|2009|2442|232000|95|Holkkitie 24
Mannila|Jyväskylä|O|2009|2661|439000|165|Tiilitehtaantie 2
Samulinniemi|Jyväskylä|K|2007|2244|179500|80|Harakkaranta 4
Kyyhkysenmäki|Jyväskylä|O|1956|1417|199000|140.4|Kyyhkysentie 14
Puistola|Jyväskylä|K|1961|2505|119000|47.5|Puistokatu 31
Lutakko|Jyväskylä|K|2011|3907|209000|53.5|Jontikka 10 A 26
Puuppola|Jyväskylä|O|1978|759|88000|116|Hannosentie 14
