Keskusta|Kuopio|K|1962|2396|230000|96|Puijonkatu 1 A
Särkiniemi|Kuopio|K|1969|1547|99000|64|Lohkaretie 11 C
Keskusta|Kuopio|K|1961|3960|99000|25|Snellmanninkatu 13
Neulamäki|Kuopio|R|1983|1702|137000|80.5|Mahlatie 3 A
Saaristokaupunki|Kuopio|R|2027|3097|284900|92|Pankkopolku 14 A 6
Saaristokaupunki|Kuopio|R|2027|3185|238900|75|Pankkopolku 14 A 5
Saaristokaupunki|Kuopio|R|2027|3185|238900|75|Pankkopolku 14 A 3
Saaristokaupunki|Kuopio|R|2027|3185|238900|75|Pankkopolku 14 A 4
Saaristokaupunki|Kuopio|R|2027|3185|238900|75|Pankkopolku 14 A 2
Keskusta|Kuopio|K|2021|5843|149000|25.5|Suokatu 29 A
Hatsala|Kuopio|K|2023|4387|136000|31|Hannes Kolehmaisen katu 9 A
Keskusta|Kuopio|K|2019|3750|135000|36|Puijonkatu 29 A
Saaristokaupunki|Kuopio|R|2023|3152|249000|79|Pirtinkaari 24 D
Puijonlaakso|Kuopio|K|2021|5306|130000|24.5|Taivaanpankontie 27 C
Särkilahti|Kuopio|R|2000|2228|205000|92|Mateenmutka 10 A
Hiltulanlahti|Kuopio|O|2005|2082|229000|110|Hirvimäentie 220
Juankoski|Kuopio|O|0|627|79000|126|Vanhanradantie 36
Rönö|Kuopio|O|2020|4904|1280000|261|Tiilisaarenkuja 5
Hiltulanlahti|Kuopio|O|2021|2953|375000|127|Nuolimäenrinne 26
Litmanen|Kuopio|R|1990|1506|119000|79|Litmasenkuja 1 A
Jynkkä|Kuopio|R|2003|577|75000|130|Jääskelänkatu 7
Rahusenkangas|Kuopio|R|1989|2038|159000|78|Ritosentie 20 B
Linnanpelto|Kuopio|K|1961|2180|139500|64|Kalevalankatu 47 C
Männistö|Kuopio|K|1971|1169|69000|59|Untamonkatu 14
Niirala|Kuopio|K|2007|2983|176000|59|Niiralankatu 17 A
Keskusta|Kuopio|K|1960|3070|175000|57|Kuopionlahdenkatu 6-8 C
Puijonlaakso|Kuopio|K|1965|2045|90000|44|Luistelijantie 5
Päivärinteentie 31 A 13|Kuopio|K|2026|4811|255000|53|Päivärinteentie 31 A 13
Jynkkä|Kuopio|R|2021|3247|315000|97|Yötarhankuja 1
Puijonlaakso|Kuopio|K|2018|3197|235000|73.5|Taivaanpankontie 10
Palonurmi|Kuopio|O|2008|2209|296000|134|Alakoskentie 195
Vatilahti|Kuopio|O|1981|2580|449000|174|Vatiniementie 56
Kortejoki|Kuopio|O|2004|1412|370000|262|Savonkaarteentie 47
Niirala|Kuopio|O|1955|1417|265000|187|Omakotitie 72
Puijonlaakso|Kuopio|K|1964|1897|129000|68|Hiihtäjäntie 15 B
Savilahti|Kuopio|K|2024|508|34066|67|Sarastuskaari 14
Riistavesi|Kuopio|R|1989|818|65000|79.5|Kievaritie 13 as
Pirtti|Kuopio|O|1998|2091|299000|143|Tanskanpolku 7
Savolanniemi|Kuopio|R|2019|2850|218000|76.5|Auringonkierto 2 A
Neulamäki|Kuopio|R|1986|1608|119000|74|Jaamantie 34 C
Nilsiä|Kuopio|O|1981|547|35000|64|Rouskutie 6
Rypysuo|Kuopio|O|1972|1363|167000|122.5|Mustikkatie 18
Pirttiniemi|Kuopio|O|2018|2721|630000|231.5|Taimenkatu 4
Keskusta|Kuopio|K|2025|5300|318000|60|Maaherrankatu 25 B 9
Keskusta|Kuopio|K|2025|5080|152400|30|Maaherrankatu 25 C 5
Riistavesi|Kuopio|O|1983|2202|229000|104|Peltokuja 5
Pirttiniemi|Kuopio|R|2020|3679|355000|96.5|Suusaarenkierto 20 as
Saaristokaupunki|Kuopio|K|2019|3000|138000|46|Paloniementie 1 A
Jynkänvuori|Kuopio|K|2019|3060|127000|41.5|Vanhankallionkatu 11 B
Jynkänvuori|Kuopio|R|2013|2565|245000|95.5|Jynkänvuorenkatu 2
Haapaniemi|Kuopio|K|1984|1974|149000|75.5|Lehtoniemenkatu 4
Maaninka|Kuopio|R|1974|594|19000|32|Hilimantie 6 A
Karttula|Kuopio|R|1988|650|26000|40|Pankkitie 5 A
Päiväranta|Kuopio|K|2018|3408|121000|35.5|Keski-Kaari 52
Petonen|Kuopio|R|1992|2000|119000|59.5|Nuotiokuja 4 D
Särkilahti|Kuopio|R|2000|2106|199000|94.5|Mateenmutka 8 A
Pajulahti|Kuopio|O|1989|1560|209000|134|Pellonperäntie 11
Lehtoniemi|Kuopio|K|2014|2963|118500|40|Lehtoniementie 116 A
Männistö|Kuopio|K|1968|1000|59000|59|Lönnrotinkatu 10 C
Pirttiniemi|Kuopio|R|2016|2726|289000|106|Taimenkatu 17 A 2
Männistö|Kuopio|K|1958|2224|109000|49|Pohjolankatu 5 A
Keskusta|Kuopio|K|1982|2094|134000|64|Niemenkatu 18
Pelonniemi|Kuopio|O|1987|760|79000|104|Susiniementie 154
Keskusta|Kuopio|K|2025|4989|354200|71|Maaherrankatu 25 C 18
Keskusta|Kuopio|K|2025|4638|317700|68.5|Maaherrankatu 25 C 10
Puijonlaakso|Kuopio|K|1970|2008|119500|59.5|Sompatie 3 H
Saaristokaupunki|Kuopio|O|2008|2366|336000|142|Tervalammenkatu 14
Väinölänniemi|Kuopio|K|2007|3563|269000|75.5|Minna Canthin katu 6
Keskusta|Kuopio|K|2025|5719|163000|28.5|Maaherrankatu 25 C 2
Saaristokaupunki|Kuopio|K|2017|2767|119000|43|Kanavaharjunkatu 6 A
Haapaniemi|Kuopio|K|1979|1232|69000|56|Kaartokatu 15
Syvänniemi|Kuopio|O|1985|1326|175000|132|Kuttajärventie 135
Käränkä|Kuopio|K|2018|2716|129000|47.5|Kärängänkatu 8 C
Saaristokaupunki|Kuopio|K|2017|3410|104000|30.5|Kanavaharjunkatu 6 A
Käränkä|Kuopio|K|2018|3493|117000|33.5|Kärängänkatu 8 A
Neulamäki|Kuopio|R|1981|1400|119000|85|Petkelkuja 2 B
Niirala|Kuopio|K|1961|2688|89500|33.3|Valkeisenkatu 10-12
Keskusta|Kuopio|K|2025|5297|158900|30|Maaherrankatu 25 C 19
Savolanniemi|/ Saaristokaupunki Kuopio|O|2014|3085|435000|141|Savolanniityntie 2
Keskusta|Kuopio|K|2009|3578|229000|64|Itkonniemenkatu 2
Hiltulanlahti|Kuopio|O|2021|3108|345000|111|Nuolimäenrinne 5
Keskusta|Kuopio|K|1953|1690|109000|64.5|Sairaalakatu 13 B
Haapaniemi|Kuopio|K|2027|4443|239900|54|Haapaniementie 16 A27
Haapaniemi|Kuopio|K|2027|3955|274900|69.5|Haapaniementie 16 A17
Päiväranta|Kuopio|R|1980|1654|172000|104|Visakuja 9
Niirala|Kuopio|R|1956|2621|228000|87|Lehtikuusikontie 3
Keskusta|Kuopio|K|1981|2658|295000|111|Piispankatu 2
Saaristokaupunki|Kuopio|R|2027|3111|308000|99|Lehtoniementie 154 A 3
Hiltulanlahti|Kuopio|O|2020|2746|379000|138|Kaunismäenrinne 20
Särkiniemi|Kuopio|K|1971|1281|98000|76.5|Lohkaretie 7 E
Keskusta|Kuopio|K|1953|3132|238000|76|Torikatu 27
Saaristokaupunki|Kuopio|R|2027|3059|260000|85|Lehtoniementie 154 B 4
Saaristokaupunki|Kuopio|O|2026|3324|359000|108|Mutkankatu 14 E
Saaristokaupunki|Kuopio|O|2026|3231|349000|108|Mutkankatu 14 D
Saaristokaupunki|Kuopio|O|2026|3231|349000|108|Mutkankatu 14 C
Neulamäki|Kuopio|R|1986|1688|135000|80|Mahlatie 9
Saaristokaupunki|Kuopio|O|2026|3417|369000|108|Mutkankatu 14 B
Saaristokaupunki|Kuopio|O|2026|3324|359000|108|Mutkankatu 14 A
Puijonlaakso|Kuopio|K|2018|4710|146000|31|Taivaanpankontie 10 C A
Puijonlaakso|Kuopio|K|1968|2460|153000|62.2|Taivaanpankontie 16 B
Petonen|Kuopio|R|1988|1680|142000|84.5|Tattikuja 2
Keskusta|Kuopio|K|1965|2224|149000|67|Asemakatu 18
Lehtoniemi|Kuopio|R|2013|2657|279000|105|Kotilokatu 11
Petonen|Kuopio|O|1988|1551|259000|167|Hiirihaukantie 21
Petonen|Kuopio|R|2015|2617|123000|47|Porkkanakatu 5 A
Puijonlaakso|Kuopio|K|2023|3409|254000|74.5|Luistelijantie 4
Pihlajalaakso|Kuopio|K|2016|3115|162000|52|Poukamankatu 8
Inkilänmäki|Kuopio|K|1973|611|44000|72|Inkilänmäenkatu 22
Levänen|Kuopio|K|1978|554|31000|56|Myllärintie 36
Savolanniemi|Kuopio|R|2016|2220|282000|127|Varraspolku 1
Niirala|Kuopio|K|1966|1317|68500|52|Rajakatu 5
Männistö|Kuopio|K|1989|1274|79000|62|Tellervonkatu 7 A
Saarijärvi|B Kuopio|K|1973|658|52000|79|Saarijärventie 2 E
Keskusta|Kuopio|K|2009|2807|153000|54.5|Snellmaninkatu 37 B
Keskusta|Kuopio|K|2022|4193|174000|41.5|Puutarhakatu 11 C
Nilsiä|Kuopio|O|1986|602|59900|99.5|Lastukoskentie 1268
Hiltulanlahti|Kuopio|R|2024|2809|257000|91.5|Kaunismäenkatu 2
Keskusta|Kuopio|K|2025|4962|339900|68.5|Maaherrankatu 25 C 23
Saaristokatu 45|Kuopio|K|2017|4535|229000|50.5|Saaristokatu 45
Puijonlaakso|Kuopio|K|2021|3553|183000|51.5|Taivaanpankontie 27c
Saarijärvi|Kuopio|K|1972|1355|84000|62|Annikintie 1 B
Niirala|Kuopio|K|2008|2644|156000|59|Niiralankatu 19 A
Päiväranta|Kuopio|K|1968|1386|79000|57|Lakeissuontie 13
Saarijärvi|A Kuopio|K|1973|1620|115000|71|Annikintie 6 A
Keilankanta|Kuopio|K|2014|2543|178000|70|Kanavanranta 7
Saaristokaupunki|Kuopio|R|2013|2738|219000|80|Jynkänvuorenkatu 2 A C
Puijonlaakso|Kuopio|K|2018|4471|114000|25.5|Taivaanpankontie 10 B A
Särkiniemi|Kuopio|K|1969|1849|135000|73|Lohkaretie 9
Hiltulanlahti|Kuopio|R|2024|2943|259000|88|Leppälinnunpolku 8A
Kaislastenlahti|Kuopio|O|2018|3176|289000|91|Lammasjärventie 27
Savolanniemi|Kuopio|R|2006|2431|175000|72|Rantaraitti 6 G
Männistö|Kuopio|K|2019|3173|165000|52|Kalevalankatu 33 A
Keskusta|Kuopio|K|1968|2993|220000|73.5|Vuorikatu 31-33 C
Lehtoniemi|Kuopio|K|2018|593|22232|37.5|Kaivannonlahdenkatu 3 A 32
Neulamäki|Kuopio|K|1985|1000|53000|53|Kantotie 6 A
Nilsiä|Kuopio|R|1990|971|68000|70|Väinöntie 20 A
Männistö|Kuopio|K|1972|1958|94000|48|Männistönkatu 16 A
Kärkkäälä|Kuopio|O|1957|975|78000|80|Kärkkääläntie 1769
Männistö|Kuopio|K|1985|1711|65000|38|Männistönkatu 14 A
Keskusta|Kuopio|K|1984|3172|249000|78.5|Satamakatu 3
Keskusta|Kuopio|K|1962|1488|125000|84|Minna Canthinkatu 34
Linnanpelto|Kuopio|R|1981|2231|357000|160|Salmelaisenkatu 21
Rahusenkangas|Kuopio|R|2005|2183|275000|126|RITOSENTIE 2 B 7
Hiltulanlahti|Kuopio|R|2021|2657|279000|105|Nuolimäenrinne 9
Niirala|Kuopio|K|2017|5303|639000|120.5|Kalliokatu 2
Jynkkä|Kuopio|R|1977|1563|125000|80|Härkätie 39
Keskusta|Kuopio|K|1985|3265|240000|73.5|Kirkkokatu 4
Petonen|Kuopio|K|1989|1118|95000|85|Pyörönkaari 15 A
Pirtti|Kuopio|R|1996|2600|195000|75|Orsitie 9
Haapaniemi|Kuopio|R|1938|1878|139000|74|Presidentinkatu 25 as
Saaristokaupunki|Kuopio|O|2014|2100|315000|150|Luhastensalonkatu 32
Saaristokaupunki|Kuopio|K|2015|3897|304000|78|Järvihelmenkatu 11 B
Lehtoniemi|Kuopio|K|2012|2748|169000|61.5|Kanavaharjunkatu 14 A
Saaristokaupunki|Kuopio|O|2009|2401|329000|137|Kattilarinne 16
Maljalahti|Kuopio|K|2024|5081|254057|50|Sammonkatu 26 A 23
Keskusta|Kuopio|K|2023|4919|243500|49.5|Maljalahdenkatu 17 A
Savolanniemi|Kuopio|R|2024|3860|359000|93|Kuunsilta 10 B
Lehtoniemi|Kuopio|K|2017|2767|119000|43|Kanavaharjunkatu 6 A
Saaristokaupunki|Kuopio|R|2015|2732|194000|71|Rautokannantie 17 D
Hiltulanlahti|Kuopio|R|2013|2327|249000|107|Auringonnousuntie 9 as 2
Keskusta|Kuopio|K|2007|3140|168000|53.5|Piispankatu 14 B
Saaristokaupunki|Kuopio|R|2010|2448|175000|71.5|Saunaniitynkatu 2 E
Lehtoniemi|Kuopio|K|2017|2541|169000|66.5|Kanavaharjunkatu 6 A
Lehtoniemi|Kuopio|K|2012|2297|232000|101|Lintuluoto 5 B
Lehtoniemi|Kuopio|R|2013|2514|279000|111|Kanavaharjunkatu 17 E
Jynkänvuori|Kuopio|K|2020|2868|185000|64.5|Vanhankallionkatu 8 A
Keskusta|Kuopio|K|1958|2257|186000|82.4|Mäkikatu 2 A
Saaristokaupunki|Kuopio|O|2003|2282|299000|131|Pölläkänlahdentie 8
Savolanniemi|Kuopio|R|2006|1989|184000|92.5|Kotirannankuja 12 C
Saaristokaupunki|Kuopio|R|2024|3000|252000|84|Susisalmenkatu 5 A 4
Lehtoniemi|Kuopio|K|2009|2486|179000|72|Lehtoniementie 98 A
Jynkkä|Kuopio|O|1979|1230|163000|132.5|Kirnukuja 14
Keskusta|Kuopio|K|2024|5358|359000|67|Sairaalakatu 4 A6
Linnanpelto|Kuopio|K|1955|2183|179000|82|Pohjolankatu 18 A
Lehtoniemi|Kuopio|K|2017|3410|104000|30.5|Kanavaharjunkatu 6 A
Julkula|Kuopio|R|1976|1598|163000|102|Saturannantie 5 B
Savolanniemi|Kuopio|K|2016|2692|175000|65|Kalakukonkatu 2 E
Saaristokaupunki|Kuopio|R|2024|2685|298000|111|Lehtoniementie 152 A
Keskusta|Kuopio|K|2011|3290|255000|77.5|Suokatu 35 A
