Kaukkari|Lahti|O|1956|726|85000|117|Kaukkarintie 15
Mukkula|Lahti|K|2011|1859|119000|64|Huvikatu 12
keskusta|Lahti|K|2014|4429|620000|140|Kirkkokatu 19
Keskusta|Lahti|K|2014|4947|188000|38|Kirkkokatu 19
Renkomäki|Lahti|O|1962|1711|154000|90|Sihvosenkatu 2
Hennala|Lahti|K|2016|520|23132|44.5|Wolter Ramsayn katu 4
Keskusta|Lahti|K|1958|2100|84000|40|Lahdenkatu 18
Villähde|Lahti|O|1969|1330|149000|112|Tuomarintie 3
Hennala|Lahti|K|1967|750|27000|36|Rykmentinkatu 1 B
Kivimaa|Lahti|O|1942|1507|113000|75|Suomenkatu 13
Keskusta|Lahti|O|1930|1893|515000|272|Onnelantie 13
Kunnas|Lahti|O|2007|1818|289000|159|Sarastekatu 1
Kartano|Lahti|K|2020|4385|239000|54.5|Kyösti Kallion katu 5 A
Karisto|Lahti|O|2011|2310|425000|184|Seitsenlähteenkatu 1
Keskusta|Lahti|K|1938|1230|369000|300|Harjukatu 13
Riihelä|Lahti|K|1978|1004|99500|99.1|Uotilankatu 24 as
Myllypohja|Lahti|O|2026|3237|359000|110.9|Koivutarhankuja 3 A
Myllypohja|Lahti|O|2026|3237|359000|110.9|Koivutarhankuja 3 B
Kiveriö|Lahti|K|1961|1561|135000|86.5|Kiveriönkatu 12 B
Korpikankare|Lahti|R|1985|1774|149000|84|Rimpikatu 5 B
Asemantausta|Lahti|K|1988|1674|149000|89|Huovilankatu 2B 15
Möysä|Lahti|O|1976|1496|199000|133|Polvikatu 8
Villähde|Lahti|O|1976|1030|139000|135|Koiskalantie 660
Keskusta|Lahti|K|2023|4859|379000|78|Onnelantie 2 as 17
Keskusta|Lahti|K|2023|5365|338000|63|Onnelantie 2 as 18
Keskusta|Lahti|K|2023|4873|307000|63|Onnelantie 2 as 8
Keskusta|Lahti|K|2023|4746|299000|63|Onnelantie 2 as 3
Keskusta|Lahti|K|2023|4613|286000|62|Onnelantie 2 as 2
Keskusta|Lahti|K|2023|4720|354000|75|Onnelantie 2 as 6
Keskusta|Lahti|K|2023|4750|304000|64|Onnelantie 2 as 4
