Keskusta|Oulu|K|2023|5089|229000|45|Pakkahuoneenkatu 24
Tuira|Oulu|K|1939|1738|139000|80|Valtatie 45
Keskusta|Oulu|K|1999|2805|143065|51|Koulukatu 34
Haapalehto|Oulu|O|1974|1658|199000|120|Takareentie 10
Kastelli|Oulu|R|1997|2447|219000|89.5|Erkkolankatu 2
Rannanperä|Oulu|O|2026|3473|349000|100.5|Tuomelantie 8 A
Kastelli|Oulu|R|2007|2727|349000|128|Pihtakuja 4B
Toppilansalmi|Oulu|K|0|3278|118000|36|Satamatie 20
Heinäpää|Oulu|K|1958|1959|96000|49|Rommakkokatu 9
Linnanmaa|Oulu|K|2000|1870|118753|63.5|Puulinnankatu 1
Herukka|Oulu|R|1998|1459|79500|54.5|Markuksenkuja 10 F
Pyykösjärvi|Oulu|R|1989|2000|169000|84.5|Lippotie 2
Kiiminki|Oulu|R|2019|2612|175000|67|Hiihtäjäntie 15 B6
Hiukkavaara|Oulu|R|2026|3200|272000|85|Jääkärimarssi 2 A 4
Välivainio|Oulu|K|1967|1317|79000|60|Siirtolantie 7 A
Höyhtyä|Oulu|R|1959|1723|112000|65|Hanhitie 2
Korvenkylä|Oulu|O|2023|3147|299000|95|Morttelitie 2 A
Hiukkavaara|Oulu|R|2027|3495|249900|71.5|Tahtimarssi 12 C18
Hiukkavaara|Oulu|R|2027|3571|219600|61.5|Tahtimarssi 12 C13
Tuira|Oulu|K|2019|3187|145000|45.5|Kaarretie 14
Hiukkavaara|Oulu|R|2027|3650|224500|61.5|Tahtimarssi 12 C12
Herukka|Oulu|O|1983|1024|129500|126.5|Impolankuja 6
Raksila|Oulu|K|1936|2574|399000|155|Puutarhakatu 8
Kaukovainio|Oulu|K|1973|1041|64000|61.5|Nuolihaukantie 3 B
Myllyoja|Oulu|K|1974|983|59000|60|Tiilitie 1 B
Alppila|Oulu|K|2010|2716|129000|47.5|Rajakaltionkatu 2 B
Metsokangas|Oulu|R|2007|2157|179000|83|Metsänvartijantie 10
Kivikkokangas|Oulu|O|2014|3024|449000|148.5|Suojuoksuntie 27
Limingantulli|Oulu|K|2022|3843|159500|41.5|Kempeleenkuja 2
Kaukovainio|Oulu|K|1966|859|67000|78|Suohaukantie 3
Lintula|Oulu|K|1968|1950|156000|80|Kaislatie 7 N
Toppilansalmi|Oulu|K|2018|3725|149000|40|Satamatie 8
Koskela|Oulu|K|1972|1107|62000|56|Irmantie 3
Kaijonharju|Oulu|K|1982|846|55000|65|Tapiontie 3 B
Kontinkangas|Oulu|K|1974|922|41500|45|Sairaalanrinne 4d
Kiulukangas|Oulu|K|2019|3349|144000|43|Muuripadantie 1
Keskusta|Oulu|K|1993|3265|480000|147|Koulukatu 19 A
Tuira|Oulu|K|1957|2119|62500|29.5|Valtatie 65
Tuira|Oulu|O|1958|2965|995000|335.6|Koskitie 36
Mäntylä|Oulu|K|2022|3566|189000|53|Postipojankuja 3
Limingantulli|Oulu|K|2017|2959|179000|60.5|Rautatienkatu 84 E
Ranta-Kastelli|Oulu|K|1954|1854|89000|48|Töllintie 50 A
Oulunsalo|Oulu|R|2001|1821|132000|72.5|Kauppiaantie 47 C
Kaukovainio|Oulu|K|1973|885|69000|78|Nuolihaukantie 3 B
Metsokangas|Oulu|O|2010|2801|395000|141|Repsikkapojantie 28
