Niemenranta|Tampere|K|2016|3981|207000|52|Federleynkatu 11
Amuri|Tampere|K|1990|3716|249000|67|Näsijärvenkatu 13 B
Rantaperkiö|Tampere|K|1970|2467|148000|60|Tuomikuja 2
Peltolammi|Tampere|K|2019|3209|146000|45.5|Säästäjänkuja 1 A
Härmälänranta|Tampere|K|2022|4518|375000|83|Konttilukinkatu 3 A
Kumpula|Tampere|O|1971|1938|250000|129|Paloniityntie 39
Vuores|Tampere|R|2020|3374|329000|97.5|Palkkionmaankatu 2 A
Ranta-Tampella|Tampere|K|2018|5196|265000|51|Koelaitoksenkatu 2
Lapinniemi|Tampere|K|2004|5500|517000|94|Sommerinkatu 9
Kaleva|Tampere|K|1955|2650|155000|58.5|Kaskitie 22 E
Keskusta|Tampere|K|1984|4451|227000|51|Satakunnankatu 28
Ranta-Tampella|Tampere|K|2019|8462|495000|58.5|Ranta-Tampellan katu 19
Annala|Tampere|R|1981|1965|169000|86|Hikivuorenkatu 2
Peltolammi|Tampere|K|1968|1821|132000|72.5|Tammikuja 1-3
Hervanta|Tampere|K|1978|1048|98000|93.5|Teekkarinkatu 19 C
Haukiluoma|Tampere|R|1983|1707|140000|82|Runkokatu 2
Nekala|Tampere|K|1958|2481|129000|52|Kuoppamäentie 37
Hakametsä|Tampere|K|2012|3725|149000|40|Harankatu 1
Hatanpää|Tampere|K|2002|4364|216000|49.5|Hatanpään Puistokuja 30 B
Kaleva|Tampere|K|1964|2891|159000|55|Pellervonkatu 27
Lintuhytti|Tampere|O|2017|2563|460000|179.5|Terrinkatu 7
Viiala|Tampere|O|1936|4068|417000|102.5|Sutikanmutka 15
Annala|Tampere|R|2011|2691|148000|55|Hirvikallionkatu 3
Pispala|Tampere|R|1991|3840|288000|75|Rajaportinkatu 7
Lamminpää|Tampere|K|2023|3467|234000|67.5|Nauhatehtaanraitti 23 A
Viinikankatu 24|Tampere|K|1954|799|103000|128.9|Viinikankatu 24
Rahola|Tampere|K|2014|2833|145900|51.5|Auttilankatu 2 B
Keskusta|Tampere|K|1927|3271|229000|70|Vuolteenkatu 18
Pispala|Tampere|O|1920|3729|179000|48|Rinnekatu 25
Hervanta|Tampere|K|2026|526|37356|71|Aasianpiha 2 ja 6
Ranta-Tampella|Tampere|K|2019|6242|309000|49.5|Ranta-Tampellan katu 15 A
Nalkala|Tampere|K|2006|3745|279000|74.5|Näsilinnankatu 46 A
Vuores|Tampere|K|2015|517|26609|51.5|Asuntamaanrinne 1 A 13
Kämmenniemi|Tampere|O|2004|2208|435000|197|Värmäläntie 32
Leinola|Tampere|O|1966|2819|389000|138|Mikkolankatu 40
Kaleva|Tampere|K|2012|4016|259000|64.5|Tursonkatu 3 A 26
Keskusta|Tampere|K|1952|3889|525000|135|Hämeenpuisto 41
Kaukajärvi|Tampere|O|1938|2615|319000|122|Routakatu 9
Kaleva|Tampere|K|1956|3168|198000|62.5|Teiskontie 15 A
