Pohjola|Turku|K|1940|1659|136000|82|Juhannuskatu 19
Hirvensalo|Turku|O|2023|3557|498000|140|Hankaniemenkatu 9
Suikkila|Turku|K|1974|2113|169000|80|Varnankatu 4
Ilpoinen|Turku|K|1971|1527|84000|55|Jaakkimankatu 5
Iso-Heikkilä|Turku|K|1960|2760|138000|50|Pohjantähdentie 4 B
Port Arthur|Portsa Turku|K|1975|3073|295000|96|Sofiankatu 4a
Keskusta|Turku|K|1957|4034|238000|59|Humalistonkatu 16 B
Martti|Turku|K|1957|3614|159000|44|Tervahovinkatu 9 A
Länsikeskus|Turku|K|2019|3071|129000|42|Pryssinkatu 10 as
Liljalaakso|Turku|O|2008|2631|438000|166.5|Skillakuja 1
Pitkämäki|Turku|K|2026|4897|166500|34|Samottikuja 9 A13
Keskusta|Turku|K|1981|3602|299000|83|Puutarhakatu 17 as
Keskusta|Turku|K|1960|4778|129000|27|Juhannuskatu 9
Suikkila|Turku|K|1974|1558|120000|77|Kaitaistentie 2 A
Itäinen|Keskusta Turku|K|1959|3414|239000|70|Kellonsoittajankatu 17
Keskusta|Turku|K|1953|4792|115000|24|Rauhankatu 9b
Kärsämäki|Turku|K|1999|2667|208000|78|Kärsämäentie 30 as
Majakkaranta|Turku|K|1999|4065|189000|46.5|Kölikatu 12 A
Telakkaranta|Turku|K|2018|6923|495000|71.5|Unioninkatu 16
Kärsämäki|Turku|K|2022|568|25544|45|Kärsämäentie 68 f E 21
Luolavuori|Turku|K|1967|1816|138000|76|Vuorelantie 3
Hirvensalo|Turku|O|2006|3843|588000|153|Aamunkoitonkatu 4
Palli|Turku|K|1972|1620|128000|79|Riutojankatu 1 F
Jäkärlä|Turku|R|1981|1648|164000|99.5|Kressunkatu 35
Martti|Turku|K|1965|3317|199000|60|Itäinen Rantakatu 52 A
Takakirves|Turku|R|1953|2212|219000|99|Suolakankareenkatu 17 A
Ruohonpää|Turku|K|2019|3856|187000|48.5|Pryssinkatu 10 A
Ruohonpää|Turku|O|1992|3158|379000|120|Tommilankatu 23 b
Teräsrautela|Turku|K|1986|1859|145000|78|Karrinkatu 8
Huhkola|Turku|R|1990|2390|147000|61.5|Hirvenkatu 11 B
Keskusta|Turku|K|1966|3353|389000|116|Puutarhakatu 8a
Keskusta|Turku|O|0|2223|329000|148|Arvinkatu 2a
Pitkämäki|Turku|K|2026|4493|199940|44.5|Samottikuja 9 A17
Huhkola|Turku|R|1984|2446|227500|93|Poronkatu 23
Martti|Turku|K|1965|5138|149000|29|Itäinen rantakatu 52-54
Katariinanlaakso|Turku|R|2001|3038|439000|144.5|Kukervanrinne 2 B
Kupittaa|Turku|K|2011|4878|239000|49|Lenkkipolku 1 J
Kohmo|Turku|O|1994|2450|330000|134.7|Lakemus 1
Port|Arthur Turku|K|1905|5792|139000|24|Puistokatu 20 D
Ydinkeskusta|Turku|K|2021|8167|1025000|125.5|Brahenkatu 12 a B
Pitkämäki|Turku|K|2025|578|47400|82|Pigmenttitasku 7
Raunistula|Turku|K|2018|4389|248000|56.5|Raunintie 4
Varissuo|Turku|K|1980|1033|79000|76.5|Koukkarinkatu 6
Runosmäki|Turku|K|1979|867|52000|60|Friskinpolku 8 A
Kurala|Turku|K|1972|1935|149000|77|Vanha Hämeentie 110
Iso-Heikkilä|Turku|K|2026|658|19746|30|Akselintie 6a
Yli-Maaria|Turku|O|2019|2443|469000|192|Karttukatu 5
Keskusta|Turku|K|1961|3532|219000|62|Eerikinkatu 5
Vähäheikkilä|Turku|K|2022|4175|238000|57|Vähäheikkiläntie 37 B
Keskusta|Turku|K|1938|3303|289000|87.5|Ursininkatu 12 b
Itäinen|keskusta Turku|K|1986|4029|139000|34.5|Sirkkalankatu 9
Kakola|Turku|K|2023|7448|715000|96|Graniittilinnankatu 2 M
Keskusta|Turku|K|1959|2952|248000|84|Aninkaistenkatu 3 A
Martti|Turku|K|1939|7057|247000|35|Betaniankatu 25 as.
Kakola/|Kakolanmäki Turku|K|2018|4629|449000|97|Michailowinkatu 11 C
Iso-Heikkilä|Turku|K|2010|2860|143000|50|Revontulenkatu 4 A as
Nummi|Turku|K|2027|5239|175500|33.5|Hakakatu 15 B42
Nummi|Turku|K|2027|4887|129500|26.5|Hakakatu 15 B37
Iso-Heikkilä|Turku|K|2022|3603|245000|68|Nuutintie 5 B
Itäranta|Turku|K|2011|5099|362000|71|Kaarle Knuutinpojan rantatie 1 A
Keskusta|Turku|K|1957|2966|258000|87|Linnankatu 45
Keskusta|Turku|K|1956|3245|159000|49|Humalistonkatu 15 b D
Runosmäki|Turku|K|1977|765|39000|51|Friskinpolku 7 B
Pohjola|Turku|K|1925|6316|132000|20.9|Räntämäenkatu 2
Keskusta|Turku|K|1963|3682|162000|44|Brahenkatu 6 C
Kakola|Turku|K|2022|5662|184000|32.5|Tiililinnankatu 7 B
Telakkaranta|Turku|K|2018|5727|189000|33|Eerik Pommerilaisen Ranta 16 A 15
Pohjola|Turku|K|1939|3145|97500|31|Köydenpunojankatu 35 as
Kaerla|Turku|K|1975|1658|99500|60|Eskonkatu 8 B
Nummi|Turku|K|2019|4921|219000|44.5|Kirkkotie 2
Keskusta|Turku|K|1963|3472|125000|36|Sairashuoneenkatu 24 C
Satama|Turku|K|2019|4278|169000|39.5|Satamakatu 31 B
Martti|Turku|K|1953|2897|168000|58|Betaniankatu 3
Martti|Turku|K|1964|2214|145000|65.5|Savenvalajankatu 3
Keskusta|Turku|K|1903|3580|179000|50|Koulukatu 18 as
Itäinen|Keskusta Turku|K|1962|2358|145000|61.5|Kaskenkatu 16 B
Paattinen|Turku|O|2005|2181|325000|149|Tanhukaari 39
Keskusta|Turku|K|1950|3291|339000|103|Aninkaistenkatu 10 A
Keskusta|Turku|K|1925|2196|449000|204.5|Eerikinkatu 37 C
Runosmäki|Turku|K|1972|1363|109000|80|Signalistinkatu 11 D
Ilpoistenrinne 18|Turku|O|1992|1891|259000|137|Ilpoistenrinne 18
Pitkämäki|Turku|K|2026|4132|278900|67.5|Kaoliinikuja 6 A7
Pitkämäki|Turku|K|2026|3600|369000|102.5|Kaoliinikuja 6 A5
Pitkämäki|Turku|K|2026|4193|369000|88|Kaoliinikuja 6 A4
Pitkämäki|Turku|K|2026|4352|171900|39.5|Kaoliinikuja 6 A13
Keskusta|Turku|K|1898|7608|369000|48.5|Aurakatu 1
Runosmäki|Turku|K|1977|1977|87000|44|Raskinpolku 6 A
Nummi|Turku|K|2027|5153|185500|36|Hakakatu 15 A8
Keskusta|Turku|K|2024|7557|699000|92.5|Sepänkatu 1 B 69
Hirvensalo|Turku|R|2012|3536|198000|56|Verkkokuja 9
Keskusta|Turku|K|1957|3938|189000|48|Linnankatu 45a
Perno|Turku|K|1984|1757|65000|37|Heinikonkatu 17 C
Martti|Turku|K|1961|4607|129000|28|Sotalaistenkatu 2 D
Varissuo|Turku|K|1977|968|60000|62|Hintsa Knaapin katu 4 C
Ilpoinen|Turku|K|1970|1674|79500|47.5|Jaakkimankatu 7 H
Martti|Turku|K|1926|2639|285000|108|Stålarminkatu 9
Turun|satama Turku|K|2019|4628|199000|43|Satamakatu 31 C 95
keskusta|Turku|K|1961|2750|143000|52|Koulukatu 23
Itäinen|Keskusta Turku|K|1963|4780|119500|25|Itäinen Pitkäkatu 41 A
Martti|Turku|K|1952|4615|222900|48.3|Nokiankatu 2 C 9
Keskusta|Turku|K|1961|3238|259000|80|Linnankatu 35
Lauttaranta|Turku|R|2010|3533|265000|75|Arolankaari 6 A 1 A
Keskusta|Turku|K|2000|4082|300000|73.5|Sairashuoneenkatu 10a B
Tähkäpolku 4|Turku|K|1974|2063|295000|143|Tähkäpolku 4
Hepokulta|Turku|K|1971|2223|259000|116.5|Varkkavuorenkatu 32 C
Vasaramäki|Turku|O|1953|1022|138000|135|Karpalotie 2
Varissuo|Turku|K|1979|855|65000|76|Piinokankatu 7 B
Härkämäki|Turku|K|1975|1852|179658|97|Häränajajanpolku 1 A
Skanssi|Turku|K|2018|521|33338|64|Bastioninkatu 1
Keskusta|Turku|K|1960|3264|173000|53|Puolalankatu 3 B
Vienola|Turku|K|1968|1255|92900|74|Vienolantie 6 A
Keskusta|Turku|K|1989|4195|172000|41|Uudenmaankatu 6 a As
Samottikuja 7 A27|Turku|K|2026|4807|199500|41.5|Samottikuja 7 A27
Itäinen|Keskusta Turku|K|1959|3224|158000|49|Uudenmaankatu 10
Pitkämäki|Turku|K|2026|3979|208900|52.5|Samottikuja 7 A16
Piispanristi|Turku|R|2001|2912|198000|68|Nurkkalankatu 15 B
Kastu|Turku|K|1965|1532|85000|55.5|Parrantie 3 G
Hirvensalo|Turku|O|1962|2325|229000|98.5|Illoistentie 58
Yli-Maaria|Turku|R|0|3332|284900|85.5|Tietäjienkatu 8 A 2
