neighborhood|city|type|year|pricePerSqm|price|size|address
Kivikko|Helsinki|K|2002|452|25109|55.5|RUUTIKUJA 1
Eira|Helsinki|K|1930|8468|398000|47|Tehtaankatu 40
Patola|Oulu|K|2024|6600|198000|30|Mestarintie 19 C
Puotila|Helsinki|K|1961|3824|174000|45.5|Klaavuntie 3 i
Aurinkolahti|Helsinki|K|2003|5091|308000|60.5|Solvikinkatu 11 A
Kallio|Helsinki|K|1912|7813|575000|73.6|Hämeentie 28
Vuosaari|Helsinki|K|1971|2642|420000|159|Merikorttitie 12
Laajasalo|Helsinki|K|2023|700|58114|83|Turumankatu 10
Vuosaari|Helsinki|K|2015|632|41723|66|Ramsinniementie 14
Etelä-Haaga|Helsinki|K|1959|5378|398000|74|Orapihlajatie 10
Pasila|Helsinki|K|2022|7887|489000|62|Höyrypolku 4
Punavuori|Helsinki|K|1927|8381|528000|63|Sepänkatu 19 D
Herttoniemenranta|Helsinki|K|2020|8785|795000|90.5|Reginankuja 3 A
Pakila|Helsinki|K|2026|6233|342794|55|Halkosuontie 69 A 5
Pakila|Helsinki|K|2026|6445|254574|39.5|Halkosuontie 69 A 12
Herttoniemenranta|Helsinki|K|2004|4035|343000|85|Suolakivenkatu 16 C
Postipuisto|Helsinki|K|2022|4542|218000|48|Lavakatu 5
Aurinkolahti|Helsinki|K|2003|4752|670000|141|Solvikinkatu 13 C
Veräjälaakso|Helsinki|K|1997|2905|199000|68.5|Tulvaniitynpolku 5 B
Kalasatama|Helsinki|K|2019|9018|248000|27.5|Tukkutorinkuja 16
Kulosaari|Helsinki|K|1978|4800|288000|60|Tupavuori 3
Pikku|Helsinki|K|1990|3993|239600|60|Korppaanmäentie 25 b
Herttoniemi|Helsinki|K|1990|3915|229000|58.5|Johan Sederholmin tie 8 C
Kallio|Helsinki|K|1960|5911|239400|40.5|Siltasaarenkatu 26
Etu-Töölö|Helsinki|K|1928|7359|379000|51.5|Vänrikki Stoolin katu 11 B
Etelä-Haaga|Helsinki|K|2016|6535|169900|26|Mäkipellontie 15
Taka-Töölö|Helsinki|K|1938|6760|649000|96|Päivärinnankatu 4
Konala|Helsinki|K|2018|4563|282900|62|Vähäntuvantie 7 a A
Pasila/Ilmala|Helsinki|K|2009|6434|785000|122|Ilmalankatu 6
Myllypuro|Helsinki|K|1964|3130|169000|54|Kiviparintie 5
Kamppi|Helsinki|K|1988|6346|679000|107|Runeberginkatu 4 c B
Roihuvuori|Helsinki|K|1956|4230|239000|56.5|Keijukaistenpolku 7
Taka-Töölö|Helsinki|K|1938|5321|298000|56|Minna Canthin katu 22
Vuosaari|Helsinki|K|1996|342|30932|90.5|Leikosaarentie 13
Vuosaari|Helsinki|K|1996|385|17306|45|Leikosaarentie 13
