Espoonlahti|Espoo|K|2006|4014|279000|69.5|Amiraalin puistotie 8 B
Soukka|Espoo|K|1972|2321|159000|68.5|Kastevuorenkuja 2
Tapiola|Espoo|K|2020|7360|368000|50|Suvikummuntie 1 D
Lintuvaara|Espoo|R|2022|5676|525000|92.5|Muuttolinnunreitti 10 D
Olari|Espoo|K|1981|2747|320000|116.5|Komeetankuja 4
Westend|Espoo|R|1988|13149|3800000|289|Lyökkiniemi 6
Kivenlahti|Espoo|K|1974|2578|299000|116|Maininkitie 9
Kauklahti|Espoo|R|2020|4385|228000|52|Valkamanpelto 1
Westend|Espoo|K|2024|7059|638800|90.5|Westendintie 99 B 2
Kavallinmäki|Espoo|R|1988|3701|235000|63.5|Vanha Turuntie 4
Tuomarila|Espoo|R|2021|5984|365000|61|Tasakalliontie 4 A
Veini, Laaksolahti|Espoo|O|1973|1082|158000|146|Karvarousku 4
Saunalahti|Espoo|K|2005|3481|235000|67.5|Myötätuulenmäki 1
Espoo|Espoo|K|1982|3414|239000|70|Ruutikellarinkuja 8 A
Leppävaara|Espoo|K|1999|3806|295000|77.5|Säterinkatu 7
Kivenlahti, Espoonlahti|Espoo|K|1974|2891|159000|55|Jälkimaininki 9 A
Nöykkiö|Espoo|R|2018|4973|368000|74|Martinkuja 7 b
Tapiola|Espoo|K|1955|5725|229000|40|Otsolahdentie 16
Haukilahti|Espoo|K|1978|3732|209000|56|Ahventie 5 A
Vermonniitty|Espoo|K|2019|5245|375000|71.5|Runoratsunkatu 3 A
Kavallinmäki|Espoo|R|1984|3723|309000|83|Siestankuja 24 B
Kaitaa|Espoo|K|2024|614|30721|50|Peijinkatu 1
Laaksolahti|Espoo|O|2001|4180|698000|167|Palomäentie 8
Latokaski|Espoo|R|0|5284|465000|88|Kantokuja 5
Matinkylä|Espoo|K|2005|4752|278000|58.5|Piispansilta 16 A 33
Muurala|Espoo|R|2006|4256|415000|97.5|Espoontie 16 B
Pohjois-Tapiola|Espoo|K|2027|5651|282540|50|Valkjärventie 7 B 31
Pohjois-Tapiola|Espoo|K|2027|7400|773317|104.5|Valkjärventie 7 B 34
Tapiola|Espoo|K|2027|8297|804800|97|Kalevalantie 5 B49
Tapiola|Espoo|K|2027|8172|318700|39|Kalevalantie 5 C72
Tapiola|Espoo|K|2027|9843|1013800|103|Kalevalantie 5 B53
Tapiola|Espoo|K|2027|8272|392900|47.5|Kalevalantie 5 B51
Kilo|Espoo|R|1984|3772|298000|79|Vasamatie 2 B
Olari|Espoo|K|1983|3861|139000|36|Meteorinkatu 3 B
Viherlaakso|Espoo|R|1964|3562|369000|103.6|Honkavaarantie 5 A
Gumböle|Espoo|R|2008|3333|320000|96|Rintamäentanhua 6 A
Niittykumpu|Espoo|R|1989|3865|458000|118.5|Reunaniitty 4 C
Kivenlahti, Marinsatama|Espoo|K|2021|6692|435000|65|Marinportti 6
Westend|Espoo|O|2025|12871|1300000|101|Puolukkatie 9 A
Soukka|Espoo|K|1970|2393|134000|56|Yläkartanontie 18
Kuninkainen, Kilo|Espoo|K|2014|5116|237900|46.5|Kilonportti 5 A
Matinkylä|Espoo|K|1985|3564|139000|39|Sepetlahdentie 12
Olari|Espoo|K|1973|2975|119000|40|Länsiportti 1 D
Niittykumpu|Espoo|K|2015|5858|251900|43|Niittyportinpolku 4 A
Olari|Espoo|K|1979|3906|125000|32|Meteorinkatu 4
Pohjois-Tapiola|Espoo|R|1982|3966|355000|89.5|Visakoivunkuja 17
Tapiola|Espoo|K|1981|3717|210000|56.5|Visamäki 4
Kauklahti|Espoo|R|2003|3674|349000|95|Hämäläistentie 11
Kurttila|Espoo|R|2024|3691|299000|81|Lusikkatie 24 C
Haukilahti|Espoo|K|1963|5664|145000|25.6|Hauenkalliontie 8
Piispansilta, Matinkylä|Espoo|K|2009|5385|315000|58.5|Nelikkokuja 12 A
Tillinmäki|Espoo|O|2017|5988|479000|80|Pujoparranpolku 5
Tuomarila|Espoo|K|2008|3436|378000|110|Kulovalkeankuja 4 M
Olari|Espoo|K|1980|3506|149000|42.5|Komeetankuja 1
Järvenperä|Espoo|R|2004|3313|376000|113.5|Haapaniemenrinne 5
Perusmäki|Espoo|R|2018|3689|169700|46|Daaliakuja 1
Henttaa|Espoo|O|2016|4993|729000|146|Maakirjantie 16
Lintuvaara|Espoo|R|2020|5214|438000|84|Tilhiparvenreitti 2
Tapiola|Espoo|K|2020|8765|298000|34|Kirjokansi 3 A
Friisilä, Olari|Espoo|O|2000|4856|658000|135.5|Koukkutie 26a
Kera|Espoo|K|2027|4557|139000|30.5|Artesaaninkatu 8 A 5
Tillinmäki|Espoo|O|2016|4445|889000|200|Tillinmaanpolku 4
Vallikallio|Espoo|K|2001|3739|218750|58.5|Veräjäkallionkatu 3
Tapiolan keskus, Tapiola|Espoo|K|1965|5795|255000|44|Sateenkaari 3 H
Nöykkiö|Espoo|K|2019|5831|344000|59|Eestinlaakso 11
Hanikka|Espoo|R|1974|2747|706000|257|Hanikka 13
Haukilahti|Espoo|K|1977|4625|259000|56|Ahventie 5 B
Leppävaara|Espoo|K|1993|3116|229000|73.5|Kyyhkysmäki 22
Lintuvaara|Espoo|R|2019|4855|369000|76|Sarvipöllönkuja 1
Tapiola|Espoo|K|1965|4958|238000|48|Hakarinne 6 H
Tapiola|Espoo|K|1955|4720|270000|57.2|Otsonkallio 3
Kiltakallio|Espoo|R|2000|3072|298000|97|Liittokuja 8 A
Puustellinmäki|Espoo|K|2022|5892|218000|37|Patruunakatu 8 A
Latokaski|Espoo|R|1997|382|39363|103|Malminhaka 8
Puolarmetsä|Espoo|R|1993|240|19169|80|Pisanniitty 2
Jouppi|Espoo|R|2000|408|42234|103.5|Joupinmäensyrjä 2
Suurpelto|Espoo|K|2022|4886|193000|39.5|Linda Tannerin kuja 1 A
Kivenlahti|Espoo|K|2026|4924|455500|92.5|Marinkallio 16 A 12
Mankkaa|Espoo|R|1974|3022|695000|230|Keltontie 10
Kilo|Espoo|K|2026|4882|239206|49|Nihtisillankuja 2 A 42
Kilo|Espoo|K|2026|4518|189764|42|Nihtisillankuja 2 A 45
Tillinmäki|Espoo|O|2008|3854|528000|137|Kedonkukantie 8
Kilo|Espoo|K|2026|4080|234600|57.5|Nihtisillankuja 2 A 19
Mankkaa|Espoo|R|1991|3980|585000|147|Vehkakulma 4
Kilo|Espoo|K|2026|4501|303846|67.5|Nihtisillankuja 2 A 43
Kilo|Espoo|K|2026|4554|159400|35|Nihtisillankuja 2 A 6
Kilo|Espoo|K|2026|5075|154800|30.5|Nihtisillankuja 2 A 40
Matinkylä|Espoo|K|1971|2891|159000|55|Aapelinkatu 10
Laurinlahti, Espoonlahti|Espoo|R|1978|2597|309000|119|Näkinkaari 13 E
Saunalahti|Espoo|K|2019|4164|127000|30.5|Linjaloistonkatu 7
Keskus|Espoo|K|1904|287|25802|90|Kiltakuja 1 G A 04
Viherlaakso|Espoo|O|1991|5388|528000|98|Kahisevantie 6 B
Kaitaa|Espoo|K|2024|597|28663|48|Peijinkatu 1
Espoonlahti|Espoo|R|1997|368|34264|93|Ristiniementie 16
Kaitaa|Espoo|K|2025|748|34405|46|Luoteisrinne 15
Kaitaa|Espoo|K|2025|706|46249|65.5|Luoteisrinne 15
Kaitaa|Espoo|K|2025|671|60702|90.5|Luoteisrinne 15
Leppävaara|Espoo|K|2026|4668|205387|44|Palokärjenkuja 1 A22
Lintuvaara|Espoo|K|2026|5196|278004|53.5|Palokärjenkuja 3 A1
Lintuvaara|Espoo|K|2026|4852|164983|34|Palokärjenkuja 1 A6
Leppävaara|Espoo|K|2026|5461|292153|53.5|Palokärjenkuja 3 A25
